"filename", "language", "TypeScript", "JSON with Comments", "JSON", "JavaScript", "Markdown", "XML", "TypeScript React", "CSS", "HTML", "Log", "comment", "blank", "total"
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\svgs\plus-sm.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\svgs\plus.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\svgs\reset-update.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\svgs\rss.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\svgs\save.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\svgs\settingsAlt.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\svgs\trash.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\svgs\trashSmall.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\svgs\user.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\svgs\x-big.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\svgs\x-small.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\utils\data\colors_background.ts", "TypeScript", 271, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12, 286
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\utils\data\colors_column.ts", "TypeScript", 140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 152
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\utils\data\colors_tab.ts", "TypeScript", 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 120
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\utils\data\errors.ts", "TypeScript", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 56
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\utils\data\itemsDnd.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\utils\fade.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 2, 18
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\utils\funcs and hooks\bookmarkErrorHandling.ts", "TypeScript", 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 35, 189
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\utils\funcs and hooks\complementaryUIcolor.ts", "TypeScript", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 61
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\utils\funcs and hooks\dragTabDb.ts", "TypeScript", 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 27, 179
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\utils\funcs and hooks\handleKeyDown_bookmarksAndTabs.ts", "TypeScript", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 59
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\utils\funcs and hooks\handleKeyDown_upperUiSettings.ts", "TypeScript", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 62
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\utils\funcs and hooks\objCreators.ts", "TypeScript", 148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 14, 169
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\utils\funcs and hooks\tabErrorHandling.ts", "TypeScript", 132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 39, 211
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\utils\funcs and hooks\useWindowSize.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 1, 31
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\utils\interfaces.ts", "TypeScript", 189, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 34, 256
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\utils\regex.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 11, 95
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\tailwind.js", "JavaScript", 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 4, 2, 99
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\tsconfig.json", "JSON with Comments", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\mongoModels\bookmarkSchema.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 15
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\mongoModels\settingsSchema.ts", "TypeScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 34
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\mongoModels\tabSchema.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 23
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\mongoModels\userSchema.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 18
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\package-lock.json", "JSON", 0, 0, 3497, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3498
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\package.json", "JSON", 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 1, 74
